DEPTH,CGR,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,NPHI,OB,OBG,PHIE,PHIT,PP,PPP,RES_DEEP,RHOB_COMBINED,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VP
1529.0722,-999,0.0865,75.0247,76.7856,4214.5011,34.7109,35,2173.1212,8.3384,-999,3745.303,14.371,0.1028,0.1033,2059.8006,2052.9654,3.2375,1.8362,1,-6440.9985,0.1202,1,105.4088,1529.1328,0.1037,4062.662
1529.2246,-999,0.0949,73.9235,76.7848,4215.5489,38.407,35,2173.2975,8.3384,-999,3745.6302,14.3711,0.0983,0.1031,1983.5616,2054.6482,3.6915,1.843,1,-6441.1504,0.1114,1,105.4121,1529.2578,0.0974,4123.1814
1529.377,-999,0.1005,72.199,76.784,4216.9451,36.453,35,2173.4739,8.3384,-999,3745.9593,14.3712,0.0903,0.099,1854.4628,2057.1835,4.2229,1.854,1,-6441.3018,0.0976,1,105.4155,1529.3828,0.0939,4221.6651
1529.5294,-999,0.0997,69.4842,76.7832,4218.1395,35.6159,35,2173.6502,8.3384,-999,3746.2916,14.3713,0.0756,0.0878,1624.1689,2059.2137,4.8427,1.8718,1,-6441.4536,0.0759,1,105.4188,1529.5078,0.0964,4386.6088
1529.6818,-999,0.0965,69.3298,76.7824,4219.2507,37.3144,35,2173.8266,8.3384,-999,3746.6241,14.3714,0.0735,0.0856,1610.1458,2061.034,5.5499,1.8728,1,-6441.6055,0.0746,1,105.4221,1529.6328,0.1052,4396.3779
1529.8342,-999,0.0853,70.492,76.7816,4220.4625,41.9011,35,2174.1792,8.3384,-999,3747.2863,14.3716,0.0765,0.0846,1714.4107,2062.3264,6.3504,1.8651,1,-6441.9087,0.0839,1,105.4255,1529.8828,0.1135,4323.8949
1529.9866,-999,0.0771,71.5717,76.7808,4221.2132,44.2003,35,2174.3556,8.3384,-999,3747.6162,14.3717,0.0807,0.0849,1805.2317,2063.2679,7.013,1.858,1,-6442.0601,0.0926,1,105.4288,1530.0078,0.1113,4258.6665
1530.139,-999,0.0747,73.801,76.78,4221.8651,41.1843,35,2174.5319,8.3384,-999,3747.9435,14.3717,0.0933,0.0925,1976.2008,2063.9715,7.003,1.8438,1,-6442.2119,0.1104,1,105.4321,1530.1328,0.1138,4130.0253
1530.2914,-999,0.0687,84.6205,76.7792,4222.8161,43.701,35,2174.7083,8.3384,-999,3748.2599,14.3718,0.0635,0.1328,2572.8595,2065.3954,6.076,1.7818,1,-6442.3638,0.197,1,105.4355,1530.2578,0.1219,3601.9641
1530.4438,-999,0.0609,92.9,76.7785,4223.8501,45.0759,35,2174.8846,8.3384,-999,3748.5689,14.3718,0.0449,0.162,2860.2098,2067.0163,5.226,1.7407,1,-6442.5151,0.2632,1,105.4388,1530.3828,0.1276,3280.9473
1530.5962,-999,0.0839,94.237,76.7777,4224.5734,44.9812,35,2175.2373,8.3384,-999,3749.1848,14.3718,0.0738,0.1789,2897.987,2067.1289,4.4763,1.7345,1,-6442.8184,0.2739,1,105.4421,1530.6328,0.1119,3234.3984
1530.7486,-999,0.0947,86.1922,76.7769,4224.1095,43.267,35,2175.4137,8.3384,-999,3749.4997,14.3718,0.0994,0.1521,2636.9595,2065.0885,3.9286,1.7736,1,-6442.9702,0.2095,1,105.4454,1530.7578,0.0988,3536.2829
1530.901,-999,0.103,83.3209,76.7761,4223.3412,46.592,35,2175.59,8.3384,-999,3749.8172,14.3719,0.1191,0.1448,2518.1788,2062.2864,3.6697,1.7887,1,-6443.1221,0.1866,1,105.4488,1530.8828,0.0903,3658.1458
1531.0534,-999,0.1116,83.7746,76.7753,4222.7987,47.0378,35,2175.7663,8.3384,-999,3750.1343,14.3719,0.131,0.1509,2538.3276,2060.1064,3.6244,1.7863,1,-6443.2734,0.1902,1,105.4521,1531.0078,0.0876,3638.3343
