DEPTH,CGR,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,MW,NPHI,OB,OBG,PHIE,PHIT,PP,PPP,RES_DEEP,RHOB_COMBINED,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
690.5905,-999,0.1817,95.3512,98.1743,1337.3089,28.222,40,977.9458,8.3088,11.5,-999,1932.3041,16.4173,0.2122,0.2322,890.6438,770.0684,9.3522,2.3275,1,-999,0.2828,1,99.9475,690.5905,0.0542,-999,3197.4223
690.7155,-999,0.2006,100.1586,98.1716,1334.6372,27.7854,40,978.1222,8.3088,11.5,-999,1932.7123,16.4178,0.2288,0.2609,1033.8144,764.3893,8.7674,2.2991,1,-999,0.3213,1,99.9526,690.7155,0.0511,-999,3043.9528
690.8405,-999,0.2178,104.7776,98.169,1330.711,26.4755,40,978.2985,8.3088,11.5,-999,1933.1158,16.4182,0.245,0.288,1147.8121,756.2629,8.1826,2.2733,1,-999,0.3582,1,99.9576,690.8405,0.0422,-999,2909.7636
690.9655,-999,0.2265,107.2045,98.1663,1326.5524,25.4592,40,978.4749,8.3088,11.5,-999,1933.5171,16.4186,0.2535,0.3021,1200.2348,747.6837,7.5978,2.2603,1,-999,0.3776,1,99.9627,690.9655,0.0353,-999,2843.8923
691.0905,-999,0.2274,107.4713,98.1637,1322.4549,25.3212,40,978.6512,8.3088,11.5,-999,1933.9182,16.4191,0.2545,0.3036,1205.9716,739.2231,7.013,2.2589,1,-999,0.3798,1,99.9677,691.0905,0.0344,-999,2836.8322
691.2155,-999,0.2268,107.317,98.161,1318.5995,25.7639,40,978.8276,8.3088,11.5,-999,1934.3194,16.4195,0.2534,0.3027,1203.1153,731.2343,6.3972,2.2598,1,-999,0.3785,1,99.9728,691.2155,0.0374,-999,2840.911
691.3405,-999,0.2289,107.9222,98.1584,1314.898,26.3576,40,979.0039,8.3088,11.5,-999,1934.72,16.4199,0.2544,0.3062,1215.638,723.5458,5.8854,2.2566,1,-999,0.3834,1,99.9778,691.3405,0.0414,-999,2824.9799
691.4655,-999,0.2391,110.8985,98.1557,1311.4776,26.9278,40,979.1802,8.3088,11.5,-999,1935.1179,16.4204,0.2623,0.3232,1272.2921,716.4082,5.6017,2.2413,1,-999,0.4072,1,99.9829,691.4655,0.0453,-999,2749.163
691.5905,-999,0.2649,118.9002,98.153,1307.924,27.9157,40,979.3566,8.3088,11.5,-999,1935.5089,16.4207,0.2831,0.3681,1397.6223,709.0159,5.5607,2.2026,1,-999,0.4712,1,99.988,691.5905,0.052,-999,2564.1508
691.7155,-999,0.2693,120.305,98.1504,1304.6926,28.1562,40,979.5329,8.3088,11.5,-999,1935.8988,16.421,0.2866,0.3759,1416.5617,702.2535,5.6213,2.1961,1,-999,0.4824,1,99.993,691.7155,0.0537,-999,2534.2093
