DEPTH,AC,CAL,CALI,CGR,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,MW,NPHI,OB,OBG,PHIE,PHIT,PPP,RES_DEEP,RHOB_combined,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
1100,88.4105,-999.25,-999.25,-999.25,0.1521,88.4105,77.1495,2979.5398,31.7521,40,1552.0542,8.2785,18.2764,-999.25,3413.0254,18.2047,-999.25,-999.25,2392.0657,7.1946,2.3719,0,-54.1883,-999.25,-999.25,114.7055,1100.0232,0.0946,-999.25,3448.437
1100.1524,95.3394,-999.25,-999.25,-999.25,0.1816,95.3394,77.1459,2979.8577,33.0685,40,1552.2692,8.2785,18.2764,-999.25,3413.5291,18.2049,-999.25,-999.25,2392.0657,6.5656,2.3276,0,-54.1851,-999.25,-999.25,114.7105,1100.1757,0.107,-999.25,3197.8181
1100.3048,99.8279,-999.25,-999.25,-999.25,0.1993,99.8279,77.1423,2980.1721,33.3431,40,1552.4843,8.2785,18.2764,-999.25,3414.0271,18.205,-999.25,-999.25,2392.0657,6.0083,2.301,0,-54.2613,-999.25,-999.25,114.7154,1100.328,0.1097,-999.25,3054.0366
1100.4572,100.9779,-999.25,-999.25,-999.25,0.2037,100.9779,77.1386,2980.4856,33.1408,40,1552.6992,8.2785,18.2764,-999.25,3414.5237,18.2051,-999.25,-999.25,2392.0657,5.5682,2.2944,0,-54.4157,-999.25,-999.25,114.7204,1100.4803,0.1077,-999.25,3019.2551
1100.6096,99.6594,-999.25,-999.25,-999.25,0.1987,99.6594,77.135,2980.8003,33.2089,40,1552.9142,8.2785,18.2764,-999.25,3415.022,18.2053,-999.25,-999.25,2392.0657,5.2876,2.302,0,-54.5766,-999.25,-999.25,114.7253,1100.6328,0.1084,-999.25,3059.2002
1100.762,97.5215,-999.25,-999.25,-999.25,0.1903,97.5215,77.1314,2981.1165,33.6935,40,1553.1292,8.2785,18.2764,-999.25,3415.5229,18.2054,-999.25,-999.25,2392.0657,5.1526,2.3145,0,-54.6922,-999.25,-999.25,114.7302,1100.7852,0.1131,-999.25,3126.2649
1100.9144,95.6011,-999.25,-999.25,-999.25,0.1827,95.6011,77.1277,2981.4341,34.15,40,1553.3442,8.2785,18.2764,-999.25,3416.0266,18.2056,-999.25,-999.25,2392.0657,5.139,2.326,0,-54.7726,-999.25,-999.25,114.7352,1100.9376,0.1175,-999.25,3189.0642
1101.0668,93.8865,-999.25,-999.25,-999.25,0.1756,93.8865,77.1241,2981.7532,34.2058,40,1553.5592,8.2785,18.2764,-999.25,3416.5322,18.2057,-999.25,-999.25,2392.0657,5.1955,2.3366,0,-54.8737,-999.25,-999.25,114.7401,1101.09,0.1181,-999.25,3247.3044
1101.2192,92.1889,-999.25,-999.25,-999.25,0.1685,92.1889,77.1205,2982.0735,33.7697,40,1553.7742,8.2785,18.2764,-999.25,3417.0403,18.2059,-999.25,-999.25,2392.0657,5.2802,2.3472,0,-55.0204,-999.25,-999.25,114.7451,1101.2424,0.1138,-999.25,3307.1016
1101.3716,90.6692,-999.25,-999.25,-999.25,0.162,90.6692,77.1169,2982.395,33.2734,40,1553.9893,8.2785,18.2764,-999.25,3417.5503,18.2061,-999.25,-999.25,2392.0657,5.3598,2.357,0,-55.1464,-999.25,-999.25,114.75,1101.3948,0.109,-999.25,3362.5315
