DEPTH,AC,CAL,CALI,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,MW,NPHI,OB,OBG,PHIE,PPP,RES_DEEP,RHOB_combined,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
1103.3528,99.88,0.16,0.16,0.1995,99.88,81.8636,2775.1455,24.76,38,1557.8138,8.284,17.6088,-999.25,3412.5601,18.1469,-999.25,1910.8981,5.61,2.3007,1,16.36,-999.25,-999.25,111.5048,1103.376,0.0349,-999.25,3052.4434
1103.5052,99.08,0.11,0.11,0.1965,99.08,81.8601,2775.3669,24.5,38,1558.0289,8.284,17.6088,-999.25,3413.0591,18.147,-999.25,1910.6465,5.74,2.3053,1,16.34,-999.25,-999.25,111.5088,1103.5284,0.0329,-999.25,3077.0896
1103.6576,95.57,-0.08,-0.08,0.1825,95.57,81.8565,2775.2578,23.5,38,1558.2439,8.284,17.6088,-999.25,3413.5625,18.1472,-999.25,1909.6105,6.25,2.3262,1,16.3,-999.25,-999.25,111.5129,1103.6808,0.0252,-999.25,3190.1021
1103.81,92.69,-0.16,-0.16,0.1706,92.69,81.853,2775.0315,23.02,38,1558.4589,8.284,17.6088,-999.25,3414.0701,18.1474,-999.25,1908.292,6.53,2.3441,1,16.29,-999.25,-999.25,111.517,1103.8333,0.0216,-999.25,3289.2227
1103.9624,90.1,-0.14,-0.14,0.1595,90.1,81.8495,2774.8083,22.91,38,1558.674,8.284,17.6088,-999.25,3414.5811,18.1476,-999.25,1906.9769,6.74,2.3607,1,16.29,-999.25,-999.25,111.5211,1103.9856,0.0208,-999.25,3383.7742
1104.1148,89.61,-0.1,-0.1,0.1573,89.61,81.8459,2774.5322,23.03,38,1558.8889,8.284,17.6088,-999.25,3415.0928,18.1478,-999.25,1905.5355,6.79,2.364,1,16.3,-999.25,-999.25,111.5251,1104.1379,0.0217,-999.25,3402.2771
1104.2672,87.99,0.07,0.07,0.1501,87.99,81.8424,2774.2336,23.43,38,1559.1039,8.2839,17.6088,-999.25,3415.6067,18.1481,-999.25,1904.037,6.94,2.3748,1,16.33,-999.25,-999.25,111.5292,1104.2904,0.0247,-999.25,3464.917
1104.4196,87.48,0.12,0.12,0.1479,87.48,81.8389,2773.7573,23.38,38,1559.3188,8.2839,17.6088,-999.25,3416.1213,18.1483,-999.25,1902.1191,6.91,2.3782,1,16.36,-999.25,-999.25,111.5333,1104.4427,0.0243,-999.25,3485.1172
1104.572,86.62,0.08,0.08,0.1439,86.62,81.8354,2773.0471,22.99,38,1559.5339,8.2839,17.6088,-999.25,3416.6375,18.1485,-999.25,1899.6478,6.79,2.3841,1,16.41,-999.25,-999.25,111.5374,1104.5952,0.0214,-999.25,3519.719
1104.7244,86.57,0.03,0.03,0.1437,86.57,81.8319,2772.2573,22.82,38,1559.7489,8.2839,17.6088,-999.25,3417.1536,18.1488,-999.25,1896.9883,6.71,2.3844,1,16.42,-999.25,-999.25,111.5414,1104.7476,0.0201,-999.25,3521.7517
1104.8768,87.31,-0.12,-0.12,0.1471,87.31,81.8283,2771.0205,22.31,38,1559.9639,8.2839,17.6088,-999.25,3417.6687,18.149,-999.25,1893.2759,6.4,2.3794,1,16.46,-999.25,-999.25,111.5455,1104.9,0.0164,-999.25,3491.9031
1105.0292,90.83,-0.11,-0.11,0.1627,90.83,81.8248,2769.5837,22.48,38,1560.179,8.2839,17.6088,-999.25,3418.1787,18.1492,-999.25,1889.0986,6.18,2.356,1,16.45,-999.25,-999.25,111.5496,1105.0524,0.0176,-999.25,3356.5789
1105.1816,96.16,-0.04,-0.04,0.1849,96.16,81.8213,2768.0461,23.02,38,1560.3939,8.2839,17.6088,-999.25,3418.6814,18.1494,-999.25,1884.693,5.97,2.3226,1,16.43,-999.25,-999.25,111.5537,1105.2048,0.0216,10.5765,3170.5288
1105.334,98.42,-0.03,-0.03,0.1939,98.42,81.8178,2766.5974,23.32,38,1560.6089,8.2839,17.6088,-999.25,3419.1812,18.1495,-999.25,1880.5002,5.89,2.3092,1,16.42,-999.25,-999.25,111.5577,1105.3572,0.0239,-999.25,3097.7246
1105.4864,107.1,0.05,0.05,0.2261,107.1,81.8142,2764.999,24.5,38,1560.8239,8.2839,17.6088,-999.25,3419.6704,18.1496,-999.25,1875.968,5.59,2.2609,1,16.36,-999.25,-999.25,111.5618,1105.5096,0.0329,-999.25,2846.667
1105.6388,111.42,0.17,0.17,0.2409,111.42,81.8107,2763.5449,25.15,38,1561.0389,8.2839,17.6088,-999.25,3420.155,18.1497,-999.25,1871.7816,5.44,2.2387,1,16.34,-999.25,-999.25,111.5659,1105.662,0.0379,-999.25,2736.2954
1105.7912,114.82,0.32,0.32,0.2521,114.82,81.8072,2762.0422,25.72,38,1561.2539,8.2839,17.6088,-999.25,3420.636,18.1497,-999.25,1867.4856,5.31,2.2219,1,16.34,-999.25,-999.25,111.57,1105.8145,0.0425,-999.25,2655.2695
1105.9436,115.51,0.32,0.32,0.2543,115.51,81.8036,2760.4175,25.87,38,1561.4689,8.2839,17.6088,-999.25,3421.1162,18.1498,-999.25,1862.9019,5.28,2.2186,1,16.34,-999.25,-999.25,111.574,1105.9668,0.0437,-999.25,2639.4082
1106.096,117.9,0.27,0.27,0.2619,117.9,81.8001,2758.7598,26.36,38,1561.684,8.2839,17.6088,-999.25,3421.594,18.1498,-999.25,1858.2428,5.19,2.2072,1,16.32,-999.25,-999.25,111.5781,1106.1191,0.0476,-999.25,2585.9038
1106.2484,118.7,0.13,0.13,0.2643,118.7,81.7966,2756.9331,26.32,38,1561.8989,8.2839,17.6088,-999.25,3422.0708,18.1498,-999.25,1853.1855,5.19,2.2035,1,16.31,-999.25,-999.25,111.5822,1106.2716,0.0473,-999.25,2568.4756
1106.4008,119.67,0.05,0.05,0.2673,119.67,81.7931,2755.0913,26.02,38,1562.1139,8.2839,17.6088,-999.25,3422.5469,18.1499,-999.25,1848.0941,5.22,2.199,1,16.32,-999.25,-999.25,111.5863,1106.424,0.0449,-999.25,2547.6565
1106.5532,119.57,0.07,0.07,0.267,119.57,81.7896,2753.3157,25.75,38,1562.3289,8.2839,17.6088,-999.25,3423.0229,18.1499,-999.25,1843.157,5.23,2.1995,1,16.32,-999.25,-999.25,111.5903,1106.5764,0.0427,-999.25,2549.7871
1106.7056,118.22,0.15,0.15,0.2629,118.22,81.786,2751.7517,24.65,38,1562.5439,8.2839,17.6088,-999.25,3423.5005,18.1499,-999.25,1838.7169,5.27,2.2057,1,16.32,-999.25,-999.25,111.5944,1106.7288,0.034,-999.25,2578.9043
1106.858,114.92,0.17,0.17,0.2524,114.92,81.7825,2750.553,23.97,38,1562.7589,8.2839,17.6088,-999.25,3423.9812,18.15,-999.25,1835.1335,5.29,2.2214,1,16.32,-999.25,-999.25,111.5985,1106.8812,0.0288,-999.25,2652.959
1107.0104,111.1,0.12,0.12,0.2398,111.1,81.779,2749.7083,23.63,38,1562.9739,8.2839,17.6088,-999.25,3424.4661,18.15,-999.25,1832.3796,5.31,2.2403,1,16.38,-999.25,-999.25,111.6026,1107.0336,0.0262,-999.25,2744.177
1107.1628,110.12,0.09,0.09,0.2365,110.12,81.7755,2749.0095,23.78,38,1563.1888,8.2839,17.6088,-999.25,3424.9521,18.1501,-999.25,1829.9677,5.34,2.2452,1,16.41,-999.25,-999.25,111.6066,1107.186,0.0273,-999.25,2768.5984
1107.3152,106.73,0,0,0.2247,106.73,81.7719,2748.4915,24.63,38,1563.4039,8.2839,17.6088,-999.25,3425.4419,18.1502,-999.25,1827.9772,5.43,2.2629,1,16.53,-999.25,-999.25,111.6107,1107.3384,0.0339,-999.25,2856.5356
1107.4676,105.72,-0.06,-0.06,0.2212,105.72,81.7685,2748.1372,25.89,38,1563.6189,8.2839,17.6088,-999.25,3425.9329,18.1503,-999.25,1826.3707,5.46,2.2682,1,16.55,-999.25,-999.25,111.6148,1107.4908,0.0438,-999.25,2883.8257
