DEPTH,AC,CGR,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,MW,NPHI,OB,OBG,PHIE,PHIT,PP,PPP,RES_DEEP,RHOB_COMBINED,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
1072.375,85.73,-999,0.1398,85.73,76.3015,2691.8495,52.09,42,1514.5534,8.2867,9.8476,-999,3273.9944,17.9134,0.1374,0.1728,1796.6727,1921.9256,5.42,2.3903,1,16.53,0.2058,1,140.1112,1072.375,0.2509,-999,3556.2586
1072.5,86.66,-999,0.1441,86.66,76.2992,2690.562,52.3,42,1514.7297,8.2867,9.8476,-999,3274.4176,17.9136,0.1422,0.1787,1820.6759,1918.3038,5.45,2.3838,1,16.8,0.2133,1,140.1148,1072.5,0.2529,-999,3518.0943
1072.625,87.74,-999,0.1491,87.74,76.2968,2689.4088,52.5,42,1514.9061,8.2867,9.8476,-999,3274.8395,17.9138,0.1477,0.1855,1847.7226,1914.9952,5.48,2.3764,1,17.06,0.2219,1,140.1184,1072.625,0.2549,-999,3474.7897
1072.75,88.81,-999,0.1538,88.81,76.2945,2688.548,52.69,42,1515.0824,8.2867,9.8476,-999,3275.2601,17.914,0.1531,0.1921,1873.7267,1912.3669,5.5,2.3693,1,17.09,0.2305,1,140.122,1072.75,0.2568,-999,3432.9248
1072.875,89.89,-999,0.1586,89.89,76.2921,2687.8913,53.4,42,1515.2588,8.2867,9.8476,-999,3275.6795,17.9142,0.1573,0.1989,1899.202,1910.2143,5.51,2.3621,1,16.78,0.2391,1,140.1257,1072.875,0.2638,-999,3391.6793
1073,90.97,-999,0.1633,90.97,76.2898,2687.3386,53.97,42,1515.4351,8.2867,9.8476,-999,3276.0976,17.9144,0.1617,0.2055,1923.9359,1908.3047,5.52,2.3551,1,16.64,0.2478,1,140.1293,1073,0.2695,-999,3351.4131
1073.125,92.04,-999,0.1679,92.04,76.2875,2686.8103,53.15,42,1515.6115,8.2867,9.8476,-999,3276.5145,17.9146,0.1692,0.2121,1947.7429,1906.4532,5.53,2.3482,1,16.39,0.2563,1,140.1329,1073.125,0.2613,-999,3312.4516
1073.25,92.4,-999,0.1694,92.4,76.2851,2686.2401,52.26,42,1515.7878,8.2867,9.8476,-999,3276.9309,17.9148,0.1731,0.2143,1955.798,1904.5044,5.54,2.3459,1,16.13,0.2592,1,140.1366,1073.25,0.2525,-999,3299.546
1073.375,92.4,-999,0.1694,92.4,76.2828,2685.6325,51.35,42,1515.9641,8.2867,9.8476,-999,3277.3474,17.915,0.1745,0.2143,1956.0948,1902.4687,5.55,2.3459,1,15.87,0.2592,1,140.1402,1073.375,0.2437,-999,3299.546
1073.5,91.25,-999,0.1645,91.25,76.2805,2685.0581,50.43,42,1516.1405,8.2867,9.8476,-999,3277.7652,17.9152,0.171,0.2072,1931.3344,1900.5082,5.56,2.3533,1,15.61,0.25,1,140.1438,1073.5,0.2349,-999,3341.1293
1073.625,89.56,-999,0.1571,89.56,76.2781,2684.8067,49.93,42,1516.3168,8.2867,9.8476,-999,3278.1849,17.9154,0.1632,0.1968,1893.3363,1899.2952,5.56,2.3643,1,15.56,0.2365,1,140.1474,1073.625,0.2301,-999,3404.1765
1073.75,88.48,-999,0.1523,88.48,76.2758,2685.1909,50.39,42,1516.4932,8.2867,9.8476,-999,3278.606,17.9156,0.1564,0.1901,1868.1936,1899.5576,5.57,2.3715,1,15.82,0.2278,1,140.1511,1073.75,0.2345,-999,3445.7284
1073.875,87.79,-999,0.1493,87.79,76.2734,2686.0335,50.76,42,1516.6695,8.2867,9.8476,-999,3279.0278,17.9158,0.1519,0.1858,1851.8219,1900.8844,5.58,2.3761,1,16.06,0.2223,1,140.1547,1073.875,0.238,-999,3472.8107
1074,87.84,-999,0.1495,87.84,76.2711,2687.4496,50.76,42,1516.8459,8.2867,9.8476,-999,3279.4496,17.9161,0.1521,0.1861,1853.3286,1903.5439,5.59,2.3758,1,16.27,0.2227,1,140.1583,1074,0.238,-999,3470.8339
1074.125,88.13,-999,0.1508,88.13,76.2688,2689.1584,50.14,42,1517.0222,8.2867,9.8476,-999,3279.871,17.9163,0.1551,0.1879,1860.6517,1906.8848,5.6,2.3738,1,16.47,0.225,1,140.1619,1074.125,0.2321,-999,3459.4128
1074.25,89.48,-999,0.1568,89.48,76.2665,2690.9414,49.25,42,1517.1986,8.2867,9.8476,-999,3280.2909,17.9165,0.1643,0.1963,1892.9398,1910.4003,5.61,2.3648,1,16.86,0.2358,1,140.1656,1074.25,0.2237,-999,3407.22
1074.375,89.73,-999,0.1579,89.73,76.2641,2692.5446,47.91,42,1517.3749,8.2867,9.8476,-999,3280.7104,17.9167,0.1682,0.1979,1899.0266,1913.4986,5.62,2.3632,1,17.44,0.2378,1,140.1692,1074.375,0.2113,-999,3397.7271
1074.5,89.2,-999,0.1555,89.2,76.2618,2693.6133,47.55,42,1517.5513,8.2867,9.8476,-999,3281.1306,17.9169,0.1663,0.1946,1886.9856,1915.354,5.62,2.3667,1,17.81,0.2336,1,140.1728,1074.5,0.208,-999,3417.9153
1074.625,88.67,-999,0.1532,88.67,76.2594,2694.0304,47.84,42,1517.7276,8.2867,9.8476,-999,3281.5514,17.9171,0.1629,0.1913,1874.7572,1915.6939,5.63,2.3702,1,17.9,0.2294,1,140.1764,1074.625,0.2107,-999,3438.345
1074.75,86.65,-999,0.1441,86.65,76.2571,2693.3147,48.77,42,1517.9039,8.2867,9.8476,-999,3281.9746,17.9173,0.1499,0.1786,1825.5652,1913.3969,5.64,2.3839,1,17.98,0.2132,1,140.1801,1074.75,0.2192,-999,3518.5003
1074.875,84.66,-999,0.1348,84.66,76.2548,2692.6168,49.68,42,1518.0803,8.2867,9.8476,-999,3282.4003,17.9176,0.1368,0.166,1774.1955,1911.1377,5.65,2.3978,1,18.05,0.1973,1,140.1837,1074.875,0.2277,-999,3601.2054
1075,82.4,-999,0.124,82.4,76.2524,2691.7157,50.66,42,1518.2566,8.2867,9.8476,-999,3282.8289,17.9178,0.1217,0.1516,1711.999,1908.4019,5.66,2.414,1,18.14,0.1792,1,140.1873,1075,0.237,-999,3699.9763
1075.125,80.12,-999,0.1127,80.12,76.2501,2691.4459,50.63,42,1518.433,8.2867,9.8476,-999,3283.2604,17.9181,0.1082,0.1368,1644.7421,1907.1297,5.66,2.431,1,18.16,0.161,1,140.1909,1075.125,0.2368,-999,3805.2677
1075.25,79.33,-999,0.1086,79.33,76.2478,2691.8343,49.96,42,1518.6093,8.2867,9.8476,-999,3283.6931,17.9184,0.105,0.1316,1620.4728,1907.3867,5.67,2.4371,1,17.73,0.1546,1,140.1946,1075.25,0.2304,-999,3843.1621
1075.375,79.59,-999,0.1099,79.59,76.2454,2692.7802,49.01,42,1518.7857,8.2867,9.8476,-999,3284.1254,17.9187,0.1087,0.1333,1628.8849,1908.9404,5.68,2.4351,1,17.54,0.1567,1,140.1982,1075.375,0.2215,-999,3830.6075
1075.5,81.93,-999,0.1217,81.93,76.2431,2694.1952,48.51,42,1518.962,8.2867,9.8476,-999,3284.5546,17.9189,0.1236,0.1486,1699.5645,1911.5892,5.69,2.4175,1,17.34,0.1754,1,140.2018,1075.5,0.2168,-999,3721.2016
